driver_id,teammate_driver_rating,driver_name,races,seasons,constructors,avg_finish,avg_teammate_finish,teammate_win_rate,avg_finish_gap,avg_target,qualifying_win_rate,avg_points,avg_points_gap,avg_car_score,reliability,overall_rank,qualified_rank
jolyon_palmer,-0.11586044226068992,Jolyon Palmer,37,2,1,15.27027027027027,13.756756756756756,0.40540540540540543,-1.5135135135135136,-0.22992714333790787,0.32432432432432434,0.24324324324324326,-0.8648648648648649,52.02599249043916,Moderate,58,46
pic,-0.12310865412763017,Charles Pic,39,2,2,18.076923076923077,17.871794871794872,0.48717948717948717,-0.20512820512820512,-0.03198408599038417,0.358974358974359,0.0,0.0,46.34395631825669,Moderate,60,47
maldonado,-0.13139165918010065,Pastor Maldonado,96,5,2,15.010416666666666,13.572916666666666,0.40625,-1.4375,-0.22920964605734495,0.40625,0.7916666666666666,-0.22916666666666666,54.58338796891868,Medium,61,48
liuzzi,-0.1330241217937228,Vitantonio Liuzzi,36,2,2,17.47222222222222,15.63888888888889,0.4166666666666667,-1.8333333333333333,-0.24528842091621192,0.3888888888888889,0.5833333333333334,-0.7222222222222222,50.88230261775153,Moderate,62,49
chilton,-0.15840076764979616,Max Chilton,34,2,1,17.58823529411765,17.11764705882353,0.3235294117647059,-0.47058823529411764,-0.17630898142965445,0.20588235294117646,0.0,-0.058823529411764705,49.86783104278335,Moderate,64,50
piastri,-0.16073750573201862,Oscar Piastri,70,3,1,6.628571428571429,5.442857142857143,0.32857142857142857,-1.1857142857142857,-0.26581957582070026,0.3,10.4,-2.7714285714285714,84.0104685956113,Moderate,66,51
petrov,-0.221132574945742,Vitaly Petrov,58,3,2,14.362068965517242,12.672413793103448,0.3793103448275862,-1.6896551724137931,-0.268212517066126,0.3620689655172414,1.103448275862069,-1.8620689655172413,57.357834595604416,Moderate,69,52
tsunoda,-0.2449537350232608,Yuki Tsunoda,114,5,3,13.324561403508772,10.736842105263158,0.35964912280701755,-2.587719298245614,-0.3727734894081647,0.40350877192982454,0.9473684210526315,-3.5350877192982457,65.41501115184893,Medium,70,53
michael_schumacher,-0.2835084760429393,Michael Schumacher,58,3,1,12.086206896551724,9.413793103448276,0.3793103448275862,-2.6724137931034484,-0.31076187724880144,0.25862068965517243,3.396551724137931,-2.189655172413793,69.13250790574394,Moderate,74,54
massa,-0.2993637451591362,Felipe Massa,155,8,2,9.251612903225807,7.038709677419355,0.3419354838709677,-2.2129032258064516,-0.33209347056203714,0.33548387096774196,5.464516129032258,-4.058064516129032,75.21974570034256,High,75,55
trulli,-0.33209551257960224,Jarno Trulli,37,2,1,18.675675675675677,17.243243243243242,0.32432432432432434,-1.4324324324324325,-0.2836480193076059,0.35135135135135137,0.0,0.0,37.3165188992295,Moderate,77,56
webber,-0.39505682508335893,Mark Webber,77,4,1,6.259740259740259,4.1688311688311686,0.23376623376623376,-2.090909090909091,-0.3844784545309688,0.24675324675324675,11.402597402597403,-5.818181818181818,86.81724768205085,Moderate,79,57
sargeant,-0.46648251300707677,Logan Sargeant,36,2,1,16.333333333333332,13.25,0.1388888888888889,-3.0833333333333335,-0.5955182159029837,0.05555555555555555,0.027777777777777776,-0.7777777777777778,56.46148499730521,Moderate,81,58
